Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000482,Logitech H540 USB Computer Headset - N/A - APANZ-122,2884,2884,6995,6995,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech H540 USB Computer Headset 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech H540 USB Computer Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2942,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794389/Logitech/Products/Logitech_H540_USB_Computer_Headset_-_N_A_-_APANZ-122.webp
PW & Music,Headsets Group,Cordless Headsets Type,B2C Headsets,981-001220,Logitech Zone Vibe 100 Headphones - OFF WHITE M/N:A00167 - APANZ-122,6036,6036,12495,12495,YES,YES,Dual,1 Year,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech Zone Vibe 100 Headphones - OFF WHITE M/N:A00167 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech Zone Vibe 100 Headphones - OFF WHITE M/N:A00167 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",6157,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794427/Logitech/Products/Logitech_Zone_Vibe_100_Headphones_-_OFF_WHITE_M_N-A00167_-_APANZ-122.webp
PW & Music,Headsets Group,Cordless Headsets Type,B2C Headsets,981-001225,Logitech Zone Vibe 100 Headphones - ROSE M/N:A00167 - APANZ-122,6036,6036,12495,12495,YES,YES,Dual,1 Year,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech Zone Vibe 100 Headphones M/N:A00167 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech Zone Vibe 100 Headphones M/N:A00167 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",6157,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794428/Logitech/Products/Logitech_Zone_Vibe_100_Headphones_-_ROSE_M_N-A00167_-_APANZ-122.webp
PW & Music,Headsets Group,Cordless Headsets Type,B2C Headsets,981-001418,Zone 300 - OFF-WHITE - APANZ-122,5312,5312,8390,8390,YES,YES,Dual,1 Year,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Zone 300 122 - Premium Logitech headset designed for comfort and performance.,"The Zone 300 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5499,Amazon,5999,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794513/Logitech/Products/Zone_300_-_OFF-WHITE_-_APANZ-122.webp
PW & Music,Headsets Group,Cordless Headsets Type,B2C Headsets,981-001413,Zone 300 - ROSE - APANZ-122,5312,5312,8390,8390,YES,YES,Dual,1 Year,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Zone 300 122 - Premium Logitech headset designed for comfort and performance.,"The Zone 300 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5418,MSP+2%,1899,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794515/Logitech/Products/Zone_300_-_ROSE_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Pro,981-000820,Logitech G PRO X Gaming Headset - BLACK - APANZ-122,7728,7728,17495,17495,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech G PRO X Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech G PRO X Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",10495,Amazon,11495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794374/Logitech/Products/Logitech_G_PRO_X_Gaming_Headset_-_BLACK_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wired Core,981-000979,G335 Wired Gaming Headset - BLACK - APANZ-122,4037,NA,7895,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G335 Wired Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G335 Wired Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4118,MSP+2%,3599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794313/Logitech/Products/G335_Wired_Gaming_Headset_-_BLACK_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wired Core,981-001019,G335 Wired Gaming Headset - WHITE - APANZ-122,4037,NA,7895,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G335 Wired Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G335 Wired Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4999,Amazon,5499,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794314/Logitech/Products/G335_Wired_Gaming_Headset_-_WHITE_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wired Core,981-000925,HEADSET - G333 - BLACK - 3.5 MM - N/A - APANZ-122,3114,NA,,NA,YES,NO,Dual,2 Years,,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,HEADSET - G333 - 3.5 MM 122 - Premium Logitech headset designed for comfort and performance.,"The HEADSET - G333 - 3.5 MM 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3176,MSP+2%,695,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794342/Logitech/Products/HEADSET_-_G333_-_BLACK_-_3.5_MM_-_N_A_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wired Core,981-000931,HEADSET - G333 - WHITE - 3.5 MM - N/A - APANZ-122,3114,NA,,NA,YES,NO,Dual,2 Years,,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,HEADSET - G333 - 3.5 MM 122 - Premium Logitech headset designed for comfort and performance.,"The HEADSET - G333 - 3.5 MM 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3176,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794344/Logitech/Products/HEADSET_-_G333_-_WHITE_-_3.5_MM_-_N_A_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wired Core,981-000937,HEADSET - G333 - PURPLE - 3.5 MM - N/A - APANZ-122,3114,NA,,NA,YES,NO,Dual,2 Years,,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,HEADSET - G333 - PURPLE - 3.5 MM 122 - Premium Logitech headset designed for comfort and performance.,"The HEADSET - G333 - PURPLE - 3.5 MM 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3176,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794343/Logitech/Products/HEADSET_-_G333_-_PURPLE_-_3.5_MM_-_N_A_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wired Core,981-000774,G431 - LEATHERETTE - (Do Not Use) AU,2884,NA,7995,NA,YES,NO,DUAL,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G431 - LEATHERETTE - (Do Not Use) AU - Premium Logitech headset designed for comfort and performance.,"The G431 - LEATHERETTE - (Do Not Use) AU is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2942,MSP+2%,2754,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794319/Logitech/Products/G431_-_LEATHERETTE_-_Do_Not_Use_AU.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wireless Core,981-000867,G733 LIGHTSPEED Wireless RGB Gaming Headset - BLACK - APANZ-122,11227,NA,19495,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G733 LIGHTSPEED Wireless RGB Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G733 LIGHTSPEED Wireless RGB Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",11452,MSP+2%,3999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794331/Logitech/Products/G733_LIGHTSPEED_Wireless_RGB_Gaming_Headset_-_BLACK_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wireless Core,981-000886,G733 LIGHTSPEED Wireless RGB Gaming Headset - WHITE - APANZ-122,11227,NA,19495,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G733 LIGHTSPEED Wireless RGB Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G733 LIGHTSPEED Wireless RGB Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",11452,MSP+2%,3999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794333/Logitech/Products/G733_LIGHTSPEED_Wireless_RGB_Gaming_Headset_-_WHITE_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wireless Core,981-000893,G733 LIGHTSPEED Wireless RGB Gaming Headset - LILAC - APANZ-122,11227,NA,19495,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G733 LIGHTSPEED Wireless RGB Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G733 LIGHTSPEED Wireless RGB Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",11452,MSP+2%,3999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794332/Logitech/Products/G733_LIGHTSPEED_Wireless_RGB_Gaming_Headset_-_LILAC_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wireless Core,981-001051,G435 LIGHTSPEED Wireless Gaming Headset - BLACK - APANZ-122,3622,NA,9595,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G435 LIGHTSPEED Wireless Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G435 LIGHTSPEED Wireless Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4664,Amazon,5164,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794321/Logitech/Products/G435_LIGHTSPEED_Wireless_Gaming_Headset_-_BLACK_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wireless Core,981-001075,G435 LIGHTSPEED Wireless Gaming Headset - WHITE - APANZ-122,3622,NA,9595,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G435 LIGHTSPEED Wireless Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G435 LIGHTSPEED Wireless Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4664,Amazon,5164,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794323/Logitech/Products/G435_LIGHTSPEED_Wireless_Gaming_Headset_-_WHITE_-_APANZ-122.webp
Gaming & S&C,Gaming Pc Group,Gaming Headsets Type,Wireless Core,981-001063,G435 LIGHTSPEED Wireless Gaming Headset - BLUE - APANZ-122,3622,NA,9595,NA,YES,NO,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,G435 LIGHTSPEED Wireless Gaming Headset 122 - Premium Logitech headset designed for comfort and performance.,"The G435 LIGHTSPEED Wireless Gaming Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4664,Amazon,5164,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794322/Logitech/Products/G435_LIGHTSPEED_Wireless_Gaming_Headset_-_BLUE_-_APANZ-122.webp
